-5346	2220	1429	1422.14622
-5004	2132	1260	1247.758937
-4835	2098	1179	1165.894791
-4579	2045	1058	1047.550515
-4378	2007	969	959.2537522
-4243	1980	914	902.3369883
-4006	1932	821	806.9904489
-3868	1906	769	754.0551193
-3698	1873	707	691.5818769
-3567	1849	662	645.3967717
-3395	1824	604	587.0757964
-3087	1789	506	489.5639869
-2946	1772	463	448.1623469
-2947	1773	464	448.3970683
-2796	1757	422	406.1275246
-2664	1741	386	371.1752667
-2559	1728	359	344.6421259
-2417	1713	325	310.3578716
-2346	1707	308	293.8759356
-2204	1694	276	262.4897862
-2111	1692	255	242.5889138
-2065	1681	245	233.7390937
-1922	1676	218	205.6012959
-1816	1670	199	186.2130705
-1676	1666	174	162.0460921
-1494	1656	145	133.8757548
-1316	1649	120	109.3142837
-1134	1643	97	87.37269424
-1036	1643	85	76.68800963
-853	1634	67	59.93717573
-674	1627	52	46.64188523
-529	1625	42	37.93502104
-385	1624	34	31.28013375
-205	1613	27	26.57910863
-61	1607	24	24.92970968
-11	1612	22	24.30595195
28	1609	24	24.50982028
86	1607	24	24.90783475
267	1609	28	27.67513652
444	1613	35	33.37169385
807	1623	57	54.64984316
988	1629	74	70.07315196
1075	1635	83	78.41761664
1239	1646	101	96.221175
1345	1647	116	109.5889355
1485	1652	135	128.6912988
1629	1659	156	150.2399829
1803	1664	186	179.2696922
1938	1670	210	203.7167788
2098	1683	241	234.6356679
2130	1679	249	241.5745324
2215	1688	268	259.1658395
2323	1698	292	282.6578203
2469	1718	324	315.8513543
2643	1736	367	358.5881086
2749	1746	396	386.1705512
2807	1758	412	401.3423232
2885	1761	435	423.0757288
2993	1775	465	453.5829627
3128	1792	506	493.4000845
3272	1812	551	537.7931822
3409	1829	596	582.0827088
3487	1840	622	608.0741352
3529	1850	636	622.1145619
3646	1866	674	662.7846073
3782	1890	721	711.5407849
3783	1890	721	711.9146427
3881	1906	756	748.2895146
4051	1937	817	813.5699892
4102	1950	836	833.5780537
4250	1975	892	893.6833481
4385	2002	946	950.3054702
4513	2026	1000	1005.782259
4678	2057	1073	1079.775749
4811	2085	1134	1141.369629
4972	2117	1211	1218.429427
5160	2155	1305	1311.782075
5378	2206	1416	1424.487878
3462	2000	611	592.396363
3435	2001	602	583.1604828
3287	1999	555	534.0910127
3192	2000	524	503.6556039
3100	2000	496	475.0699903
2947	1999	451	429.4266985
2804	1999	410	388.832149
2703	2001	382	361.3100732
2548	2002	341	321.1169607
2458	2001	320	298.9300845
2338	2002	292	270.5129722
2209	2002	262	241.5968538
2152	2002	249	229.3458552
2068	1998	230	212.0248844
1960	1999	209	190.559831
1885	1999	195	176.3597322
1780	2001	176	157.3442733
1707	2001	163	144.8191686
1607	2000	147	128.5559818
1500	2001	131	112.1777657
